Geonames	Waterbody Name	 Number of Stations	Is drinking water	Cyanobacteria exposure category	CyAN object ID	centroid latitude	centroid longitude	area (km2)	elevation (m)	CyAN data	COEPHT data	Cells present	toxins tested	toxins detected	zipcode adjacent	is recreation	zipcode water source	Notes	More information
https://www.geonames.org/5416788/cheraw-lake.html	Cheraw Lake	2		chronic		38.09917	-103.513			Y	N	Y	N		81030	No			https://coloradobirdingtrail.com/site/lake-cheraw/
https://www.geonames.org/5416812/cherry-creek-lake.html	Cherry Creek Reservoir	4	Yes	chronic	3072796	39.64021408	-104.855505	3.59	1691.84	Y	Y	Y	Y	Y	80014	Yes		Toxins measured and detected in multiple years	https://cpw.state.co.us/placestogo/parks/CherryCreek
https://www.geonames.org/5575745/clark-reservoir.html	Clark Reservoir	1		chronic		40.74261	-104.98515			Y	N	Y	N			Unclear - maybe fishing			
https://www.geonames.org/5417190/clear-creek-reservoir.html	Clear Creek Reservoir	2				39.01951	-106.25703			Y		Y							
https://www.geonames.org/5575824/cobb-lake.html	Cobb Lake	1				40.64194	-104.9652			Y	Y	Y	Y	N				aka Cobb SWA; toxins tested and not detected in one year	
https://www.geonames.org/5417458/colby-horse-park-reservoir.html	Colby Horse Park Reservoir	1		chronic		39.08123	-107.79465			Y	N	Y	N			Unclear			
https://www.geonames.org/5575854/college-lake.html	College Lake	1				40.58019	-105.15			Y		Y							
https://www.geonames.org/5575916/comanche-reservoir.html	Comanche Reservoir	1				40.58386	-105.65154			Y		Y							
https://www.geonames.org/5417853/continental-reservoir.html	Continental Reservoir	1		chronic		37.8759	-107.22352			Y	N	Y	N			Yes			https://www.fs.usda.gov/recarea/riogrande/recarea/?recid=28976
https://www.geonames.org/7250253/cooley-lake.html	Cooley Lake	1				39.58639	-105.03694			Y		Y							
https://www.geonames.org/5576039/cowdrey-reservoir.html	Cowdry Reservoir	1				40.83729	-106.31357			Y	N	Y	N						
https://www.geonames.org/5576070/craig-pit.html	Craig Pit	1								Y		Y						doesn't exactly match geonames, but its close	
https://www.geonames.org/5418474/crawford-reservoir.html	Crawford Reservoir	2			3400757	38.68292832	-107.601103	1.52	1998.74	Y	Y	Y	Y	Y				Toxins measured in two years and detected in one year	
https://www.geonames.org/5576160/curtis-lake.html	Curtis Lake	1				40.66382	-105.13259			Y		Y							
https://www.geonames.org/5419532/deweese-dye-reservoir.html	Deweese-Dye Reservoir	4		chronic	4540968	38.20268348	-105.463425	1.29	2337.42	Y	Y	Y	Y	Y	81252 - if prevailing winds are blowing to the south	Yes		Toxins measured and detected in multiple years	https://en.wikipedia.org/wiki/DeWeese_Reservoir
https://www.geonames.org/5419615/dillon-reservoir.html	Dillon Reservoir	8	Yes	chronic	3245597	39.60157872	-106.057963	13.03	2749.94	Y	Y	Y	Y	N	80435	Yes		only tested for toxins once	https://www.summitcountyco.gov/234/Dillon-Reservoir-Recreation
https://www.geonames.org/5576412/dixon-reservoir.html	Dixon Lake/Reservoir	Dixon Lake/Reservoir				40.54999	-105.14093			N	Y	Y	Y	N				only tested for toxins once	
https://www.geonames.org/5576461/douglas-reservoir.html	Douglas Reservoir	2			3327301	40.702462	-105.082418	2.13	1586.99	Y	Y	Y	Y	N				Toxins measured in two years and not detected	
https://www.geonames.org/5576482/dowdy-lake.html	Dowdy Lake	1								Y	Y	Y	Y	N				geonames centroid seems off: toxins measured in one year and not detected	
https://www.geonames.org/5420775/eastdale-reservoir-number-1.html	Eastdale Reservoir Number 1	1				37.05424	-105.61201			Y		Y							
https://www.geonames.org/5576696/eaton-reservoir.html	Eaton Reservoir	1				40.94071	-105.71667			Y		Y							
https://www.geonames.org/5420810/echo-canyon-reservoir.html	Echo Canyon Reservoir	1				37.21226	-106.99507			Y	Y	Y	Y	N				toxins tested in one year only and not detected	
https://www.geonames.org/5420899/eggleston-lake.html	Eggleston Lake	1				39.04444	-107.94067			N	Y		Y					toxins tested in one year only and not detected	
https://www.geonames.org/5576745/elder-reservoir.html	Elder Reservoir	1				40.65023	-105.04083			Y		Y							
https://www.geonames.org/5420968/electra-lake.html	Electra Lake	4			5335457	37.56727895	-107.805926	3.25	2537.14	Y	Y	Y	Y	N				toxins measured and not detected in multiple years	
https://www.geonames.org/5421014/elevenmile-canyon-reservoir.html	Elevenmile Canyon Reservoir	6	Yes	chronic		38.93004	-105.51851			Y	Y	Y	Y	Y		Yes		toxins measured in many samples from two years and detected in many samples from only one of those years	https://www.denverwater.org/recreation/eleven-mile-canyon-resevoir
https://www.geonames.org/5576756/elk-head-reservoir.html	Elk Head Reservoir	5				40.55831	-107.38728			Y		Y							
https://www.geonames.org/5421170/emerald-lake.html	Emerald Lake	1				37.55295	-107.44661			Y		Y							
https://www.geonames.org/5576835/empire-reservoir.html	Empire Reservoir	4		chronic		40.26782	-104.1625			Y	N	Y	N		80654 - maybe	Yes - members only			https://www.uncovercolorado.com/activities/empire-reservoir/
https://www.geonames.org/5577044/fish-creek-reservoir.html	Fish Creek Reservoir	1				40.49431	-106.69997			Y		Y							
https://www.geonames.org/5422048/flowing-park-reservoir.html	Flowing Park Reservoir	1				38.95859	-108.10422			Y	N	Y	N						
https://www.geonames.org/5422158/fort-lyons-reservoir.html	Fort Lyons Reservoir	1		chronic		38.20526	-102.55483			Y	N	Y	N			Unclear			
